anexo;archivo_pdf;pagina_pdf;pagina_impresa;nivel_gobierno;codigo_pliego;pliego;departamento;provincia;distrito;categoria_presupuestal;producto;codigo_partida;tipo_partida;concepto;fuente_financiamiento;monto_soles;sector;alcance_territorial;nota;cuadra_el_pliego;diferencia_del_pliego
6;ANEXO-6-1;57;547;Gobierno regional;443;GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA;Arequipa;;;Programas presupuestales;3000001 ACCIONES COMUNES;5000085;Actividad;MONITOREO, SUPERVISION, EVALUACION Y CONTROL METAXENICAS Y ZOONOSIS;;740048;Salud;Localizada en Arequipa;;Sí;0
6;ANEXO-6-1;57;547;Gobierno regional;443;GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA;Arequipa;;;Programas presupuestales;3000001 ACCIONES COMUNES;5000276;Actividad;GESTION DEL PROGRAMA;;5187558;Planeamiento y gestión administrativa;Localizada en Arequipa;;Sí;0
6;ANEXO-6-1;57;547;Gobierno regional;443;GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA;Arequipa;;;Programas presupuestales;3000001 ACCIONES COMUNES;5002829;Actividad;DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ATENCION PRE HOSPITALARIA Y EMERGENCIAS;;500;Salud;Localizada en Arequipa;;Sí;0
6;ANEXO-6-1;57;547;Gobierno regional;443;GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA;Arequipa;;;Programas presupuestales;3000001 ACCIONES COMUNES;5004279;Actividad;MONITOREO,SUPERVISION Y EVALUACION DE PRODUCTOS Y ACTIVIDADES EN GESTION DE RIESGO DE DESASTRES;;477309;Gestión del riesgo de desastres;Localizada en Arequipa;;Sí;0
6;ANEXO-6-1;57;547;Gobierno regional;443;GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA;Arequipa;;;Programas presupuestales;3000001 ACCIONES COMUNES;5004280;Actividad;DESARROLLO DE INSTRUMENTOS ESTRATEGICOS PARA LA GESTION DEL RIESGO DE DESASTRES;;1381657;Gestión del riesgo de desastres;Localizada en Arequipa;;Sí;0
6;ANEXO-6-1;57;547;Gobierno regional;443;GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA;Arequipa;;;Programas presupuestales;3000001 ACCIONES COMUNES;5004389;Actividad;DESARROLLO DE NORMAS Y GUIAS TECNICAS EN SALUD MATERNO NEONATAL;;21166;Salud;Localizada en Arequipa;;Sí;0
6;ANEXO-6-1;57;547;Gobierno regional;443;GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA;Arequipa;;;Programas presupuestales;3000001 ACCIONES COMUNES;5004424;Actividad;VIGILANCIA, INVESTIGACION Y TECNOLOGIAS EN NUTRICION;;1437315;Educación;Localizada en Arequipa;;Sí;0
6;ANEXO-6-1;57;547;Gobierno regional;443;GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA;Arequipa;;;Programas presupuestales;3000001 ACCIONES COMUNES;5004425;Actividad;DESARROLLO DE NORMAS Y GUIAS TECNICAS EN NUTRICION;;95795;Salud;Localizada en Arequipa;;Sí;0
6;ANEXO-6-1;57;547;Gobierno regional;443;GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA;Arequipa;;;Programas presupuestales;3000001 ACCIONES COMUNES;5004426;Actividad;MONITOREO, SUPERVISION, EVALUACION Y CONTROL DEL PROGRAMA ARTICULADO NUTRICIONAL;;662250;Salud;Localizada en Arequipa;;Sí;0
6;ANEXO-6-1;57;547;Gobierno regional;443;GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA;Arequipa;;;Programas presupuestales;3000001 ACCIONES COMUNES;5004430;Actividad;MONITOREO, SUPERVISION, EVALUACION Y CONTROL DE LA SALUD MATERNO NEONATAL;;18911347;Salud;Localizada en Arequipa;;Sí;0
