anexo;archivo_pdf;pagina_pdf;pagina_impresa;nivel_gobierno;codigo_pliego;pliego;departamento;provincia;distrito;categoria_presupuestal;programa_presupuestal;producto;codigo_partida;tipo_partida;concepto;monto_soles;alcance_territorial;base_no_duplicada;nota;cuadra_el_pliego;diferencia_del_pliego
6;ANEXO-6-2;54;784;Gobierno regional;455;GOBIERNO REGIONAL DEL DEPARTAMENTO DE MOQUEGUA;Moquegua;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5000085;Actividad;MONITOREO, SUPERVISION, EVALUACION Y CONTROL METAXENICAS Y ZOONOSIS;64086;Localizada en Moquegua;Sí;;Sí;0
6;ANEXO-6-2;54;784;Gobierno regional;455;GOBIERNO REGIONAL DEL DEPARTAMENTO DE MOQUEGUA;Moquegua;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5000276;Actividad;GESTION DEL PROGRAMA;1831499;Localizada en Moquegua;Sí;;Sí;0
6;ANEXO-6-2;54;784;Gobierno regional;455;GOBIERNO REGIONAL DEL DEPARTAMENTO DE MOQUEGUA;Moquegua;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5003032;Actividad;SEGUIMIENTO Y EVALUACION DEL PROGRAMA;1894569;Localizada en Moquegua;Sí;;Sí;0
6;ANEXO-6-2;54;784;Gobierno regional;455;GOBIERNO REGIONAL DEL DEPARTAMENTO DE MOQUEGUA;Moquegua;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5004279;Actividad;MONITOREO,SUPERVISION Y EVALUACION DE PRODUCTOS Y ACTIVIDADES EN GESTION DE RIESGO DE DESASTRES;10247;Localizada en Moquegua;Sí;;Sí;0
6;ANEXO-6-2;54;784;Gobierno regional;455;GOBIERNO REGIONAL DEL DEPARTAMENTO DE MOQUEGUA;Moquegua;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5004280;Actividad;DESARROLLO DE INSTRUMENTOS ESTRATEGICOS PARA LA GESTION DEL RIESGO DE DESASTRES;4635;Localizada en Moquegua;Sí;;Sí;0
6;ANEXO-6-2;54;784;Gobierno regional;455;GOBIERNO REGIONAL DEL DEPARTAMENTO DE MOQUEGUA;Moquegua;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5004389;Actividad;DESARROLLO DE NORMAS Y GUIAS TECNICAS EN SALUD MATERNO NEONATAL;4333;Localizada en Moquegua;Sí;;Sí;0
6;ANEXO-6-2;54;784;Gobierno regional;455;GOBIERNO REGIONAL DEL DEPARTAMENTO DE MOQUEGUA;Moquegua;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5004424;Actividad;VIGILANCIA, INVESTIGACION Y TECNOLOGIAS EN NUTRICION;13214;Localizada en Moquegua;Sí;;Sí;0
6;ANEXO-6-2;54;784;Gobierno regional;455;GOBIERNO REGIONAL DEL DEPARTAMENTO DE MOQUEGUA;Moquegua;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5004425;Actividad;DESARROLLO DE NORMAS Y GUIAS TECNICAS EN NUTRICION;39812;Localizada en Moquegua;Sí;;Sí;0
6;ANEXO-6-2;54;784;Gobierno regional;455;GOBIERNO REGIONAL DEL DEPARTAMENTO DE MOQUEGUA;Moquegua;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5004426;Actividad;MONITOREO, SUPERVISION, EVALUACION Y CONTROL DEL PROGRAMA ARTICULADO NUTRICIONAL;86157;Localizada en Moquegua;Sí;;Sí;0
6;ANEXO-6-2;54;784;Gobierno regional;455;GOBIERNO REGIONAL DEL DEPARTAMENTO DE MOQUEGUA;Moquegua;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5004430;Actividad;MONITOREO, SUPERVISION, EVALUACION Y CONTROL DE LA SALUD MATERNO NEONATAL;1589770;Localizada en Moquegua;Sí;;Sí;0
