anexo;archivo_pdf;pagina_pdf;pagina_impresa;nivel_gobierno;codigo_pliego;pliego;departamento;provincia;distrito;categoria_presupuestal;programa_presupuestal;producto;codigo_partida;tipo_partida;concepto;fuente_financiamiento;monto_soles;alcance_territorial;base_no_duplicada;nota;cuadra_el_pliego;diferencia_del_pliego
6;ANEXO-6-2;108;838;Gobierno regional;458;GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO;Puno;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5000085;Actividad;MONITORED, SUPERVISION, EVALUACION Y CONTROL METAXENICAS Y ZOONOSIS;;2017546;Localizada en Puno;Sí;;No;7789915
6;ANEXO-6-2;108;838;Gobierno regional;458;GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO;Puno;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5000276;Actividad;GESTION DEL PROGRAMA;;3407495;Localizada en Puno;Sí;;No;7789915
6;ANEXO-6-2;108;838;Gobierno regional;458;GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO;Puno;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5002829;Actividad;DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ATENCION PRE HOSPITALARIA Y EMERGENCIAS;;2006;Localizada en Puno;Sí;;No;7789915
6;ANEXO-6-2;108;838;Gobierno regional;458;GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO;Puno;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5004279;Actividad;MONITOREO,SUPERVISION Y EVALUACION DE PRODUCTOS Y ACTIVIDADES EN GESTION DE RIESGO DE DESASTRES;;1307917;Localizada en Puno;Sí;;No;7789915
6;ANEXO-6-2;108;838;Gobierno regional;458;GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO;Puno;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5004280;Actividad;DESARROLLO DE INSTRUMENTOS ESTRATEGICOS PARA LA GESTION DEL RIESGO DE DESASTRES;;431327;Localizada en Puno;Sí;;No;7789915
6;ANEXO-6-2;108;838;Gobierno regional;458;GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO;Puno;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5004389;Actividad;DESARROLLO DE NORMAS Y GUIAS TECNICAS EN SALUD MATERNO NEONATAL;;10406;Localizada en Puno;Sí;;No;7789915
6;ANEXO-6-2;108;838;Gobierno regional;458;GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO;Puno;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5004424;Actividad;VIGILANCIA, INVESTIGACION Y TECNOLOGIAS EN NUTRICION;;2662779;Localizada en Puno;Sí;;No;7789915
6;ANEXO-6-2;108;838;Gobierno regional;458;GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO;Puno;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5004425;Actividad;DESARROLLO DE NORMAS Y GUIAS TECNICAS EN NUTRICION;;5076;Localizada en Puno;Sí;;No;7789915
6;ANEXO-6-2;108;838;Gobierno regional;458;GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO;Puno;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5004426;Actividad;MONITOREO, SUPERVISION, EVALUACION Y CONTROL DEL PROGRAMA ARTICULADO NUTRICIONAL;;6885834;Localizada en Puno;Sí;;No;7789915
6;ANEXO-6-2;108;838;Gobierno regional;458;GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO;Puno;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5004430;Actividad;MONITORED, SUPERVISION, EVALUACION Y CONTROL DE LA SALUD MATERNO NEONATAL;;8762701;Localizada en Puno;Sí;;No;7789915
6;ANEXO-6-2;108;838;Gobierno regional;458;GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO;Puno;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5004433;Actividad;MONITORED, SUPERVISION, EVALUACION Y CONTROL DE VIH/SIDA - TUBERCULOSIS;;2419378;Localizada en Puno;Sí;;No;7789915
6;ANEXO-6-2;108;838;Gobierno regional;458;GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO;Puno;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5004434;Actividad;DESARROLLO DE NORMAS Y GUIAS TECNICAS VIH/SIDA Y TUBERCULOSIS;;489290;Localizada en Puno;Sí;;No;7789915
6;ANEXO-6-2;108;838;Gobierno regional;458;GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO;Puno;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5004441;Actividad;MONITORED, SUPERVISION, EVALUACION Y CONTROL DE PREVENCION Y CONTROL DEL CANCER;;1081748;Localizada en Puno;Sí;;No;7789915
