anexo;archivo_pdf;pagina_pdf;pagina_impresa;nivel_gobierno;codigo_pliego;pliego;departamento;provincia;distrito;jurisdicciones_mencionadas;categoria_presupuestal;programa_presupuestal;producto;codigo_partida;tipo_partida;concepto;fuente_financiamiento;monto_soles;sector;alcance_territorial;base_no_duplicada;nota;cuadra_el_pliego;diferencia_del_pliego
6;ANEXO-6-2;154;884;Gobierno regional;460;Gobierno Regional del Departamento de Tacna;Tacna;;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5000085;Actividad;MONITOREO, SUPERVISION, EVALUACION Y CONTROL METAXENICAS Y ZOONOSIS;;30121;Salud;Localizada en Tacna;Sí;;Sí;0
6;ANEXO-6-2;154;884;Gobierno regional;460;Gobierno Regional del Departamento de Tacna;Tacna;;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5000276;Actividad;GESTION DEL PROGRAMA;;703614;Planeamiento y gestión administrativa;Localizada en Tacna;Sí;;Sí;0
6;ANEXO-6-2;154;884;Gobierno regional;460;Gobierno Regional del Departamento de Tacna;Tacna;;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5004279;Actividad;MONITOREO,SUPERVISION Y EVALUACION DE PRODUCTOS Y ACTIVIDADES EN GESTION DE RIESGO DE DESASTRES;;3860;Gestión del riesgo de desastres;Localizada en Tacna;Sí;;Sí;0
6;ANEXO-6-2;154;884;Gobierno regional;460;Gobierno Regional del Departamento de Tacna;Tacna;;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5004280;Actividad;DESARROLLO DE INSTRUMENTOS ESTRATEGICOS PARA LA GESTION DEL RIESGO DE DESASTRES;;7895;Gestión del riesgo de desastres;Localizada en Tacna;Sí;;Sí;0
6;ANEXO-6-2;154;884;Gobierno regional;460;Gobierno Regional del Departamento de Tacna;Tacna;;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5004389;Actividad;DESARROLLO DE NORMAS Y GUIAS TECNICAS EN SALUD MATERNO NEONATAL;;34131;Salud;Localizada en Tacna;Sí;;Sí;0
6;ANEXO-6-2;154;884;Gobierno regional;460;Gobierno Regional del Departamento de Tacna;Tacna;;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5004424;Actividad;VIGILANCIA, INVESTIGACION Y TECNOLOGIAS EN NUTRICION;;3000;Educación;Localizada en Tacna;Sí;;Sí;0
6;ANEXO-6-2;154;884;Gobierno regional;460;Gobierno Regional del Departamento de Tacna;Tacna;;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5004425;Actividad;DESARROLLO DE NORMAS Y GUIAS TECNICAS EN NUTRICION;;12556;Salud;Localizada en Tacna;Sí;;Sí;0
6;ANEXO-6-2;154;884;Gobierno regional;460;Gobierno Regional del Departamento de Tacna;Tacna;;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5004426;Actividad;MONITOREO, SUPERVISION, EVALUACION Y CONTROL DEL PROGRAMA ARTICULADO NUTRICIONAL;;374268;Salud;Localizada en Tacna;Sí;;Sí;0
6;ANEXO-6-2;154;884;Gobierno regional;460;Gobierno Regional del Departamento de Tacna;Tacna;;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5004430;Actividad;MONITOREO, SUPERVISION, EVALUACION Y CONTROL DE LA SALUD MATERNO NEONATAL;;586904;Salud;Localizada en Tacna;Sí;;Sí;0
6;ANEXO-6-2;154;884;Gobierno regional;460;Gobierno Regional del Departamento de Tacna;Tacna;;;;Programas presupuestales;;3000001 ACCIONES COMUNES;5004433;Actividad;MONITOREO, SUPERVISION, EVALUACION Y CONTROL DE VIH/SIDA - TUBERCULOSIS;;63063;Salud;Localizada en Tacna;Sí;;Sí;0
