departamento;codigo_pliego;pliego;nivel_gobierno;provincia;distrito;anexos;n_asignaciones;monto_asignado_soles;concepto_del_monto;referencia_paginas_pdf
Arequipa;443;GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA;Gobierno regional;;;6;435;3096683402;Presupuesto institucional total del pliego;ANEXO-6-1:57-77
Arequipa;003;M. DE CULTURA;Gobierno nacional;;;5;1;304000;Partidas localizadas en Arequipa;ANEXO-5-1:32
Arequipa;005;M. DEL AMBIENTE;Gobierno nacional;;;5;3;31138743;Partidas localizadas en Arequipa;ANEXO-5-1:44
Arequipa;006;M. DE JUSTICIA Y DERECHOS HUMANOS;Gobierno nacional;;;5;2;59261654;Partidas localizadas en Arequipa;"ANEXO-5-1:58; ANEXO-5-3:49"
Arequipa;007;M. DEL INTERIOR;Gobierno nacional;;;5;1;47646412;Partidas localizadas en Arequipa;ANEXO-5-1:72
Arequipa;010;M. DE EDUCACION;Gobierno nacional;;;5;3;1546744;Partidas localizadas en Arequipa;ANEXO-5-1:100-101
Arequipa;011;M. DE SALUD;Gobierno nacional;;;5;3;30221200;Partidas localizadas en Arequipa;ANEXO-5-2:117,119
Arequipa;013;MINISTERIO DE DESARROLLO AGRARIO Y RIEGO;Gobierno nacional;;;5;11;20691460;Partidas localizadas en Arequipa;ANEXO-5-3:6-9,11-12,14
Arequipa;016;M. DE ENERGIA Y MINAS;Gobierno nacional;;;5;1;3260000;Partidas localizadas en Arequipa;ANEXO-5-3:34
Arequipa;022;MINISTERIO PUBLICO;Gobierno nacional;;;5;3;58380368;Partidas localizadas en Arequipa;ANEXO-5-3:46
Arequipa;026;M. DE DEFENSA;Gobierno nacional;;;5;3;920531669;Partidas localizadas en Arequipa;ANEXO-5-3:54-55
Arequipa;029;AUTORIDAD NACIONAL DE INFRAESTRUCTURA;Gobierno nacional;;;5;1;300000000;Partidas localizadas en Arequipa;ANEXO-5-1:25
Arequipa;035;MINISTERIO DE COMERCIO EXTERIOR Y TURISMO;Gobierno nacional;;;5;4;11252596;Partidas localizadas en Arequipa;ANEXO-5-3:67-69
Arequipa;036;MINISTERIO DE TRANSPORTES Y COMUNICACIONES;Gobierno nacional;;;5;6;62155338;Partidas localizadas en Arequipa;ANEXO-5-3:74,77-79,81-82
Arequipa;037;MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO;Gobierno nacional;;;5;3;15768361;Partidas localizadas en Arequipa;ANEXO-5-3:112
Arequipa;059;FONDO NACIONAL DE DESARROLLO PESQUERO - FONDEPES;Gobierno nacional;;;5;2;12527799;Partidas localizadas en Arequipa;ANEXO-5-3:127
Arequipa;067;SUPERINTENDENCIA NACIONAL DE LOS REGISTROS PUBLICOS;Gobierno nacional;;;5;1;5536;Partidas localizadas en Arequipa;ANEXO-5-1:63
Arequipa;073;SUPERINTENDENCIA NACIONAL DE MIGRACIONES;Gobierno nacional;;;5;1;3823910;Partidas localizadas en Arequipa;ANEXO-5-1:76
Arequipa;163;INSTITUTO NACIONAL DE INNOVACION AGRARIA;Gobierno nacional;;;5;2;22905662;Partidas localizadas en Arequipa;ANEXO-5-3:23
Arequipa;165;SERVICIO NACIONAL FORESTAL Y DE FAUNA SILVESTRE - SERFOR;Gobierno nacional;;;5;1;1130617;Partidas localizadas en Arequipa;ANEXO-5-3:28
Arequipa;241;INSTITUTO TECNOLOGICO DE LA PRODUCCION - ITP;Gobierno nacional;;;5;3;8615691;Partidas localizadas en Arequipa;ANEXO-5-3:130
Arequipa;513;U.N. DE SAN AGUSTIN;Gobierno nacional;;;5;52;452435006;Presupuesto institucional total del pliego;ANEXO-5-1:120-122
Arequipa;040101;MUNICIPALIDAD PROVINCIAL DE AREQUIPA;Gobierno local;Arequipa;Arequipa;7;15;291805948;Presupuesto institucional total del pliego;ANEXO-7-1-2:94
Arequipa;040102;MUNICIPALIDAD DISTRITAL DE ALTO SELVA ALEGRE;Gobierno local;Arequipa;Alto Selva Alegre;7;11;76417718;Presupuesto institucional total del pliego;ANEXO-7-1-2:94
Arequipa;040103;MUNICIPALIDAD DISTRITAL DE CAYMA;Gobierno local;Arequipa;Cayma;7;13;105029455;Presupuesto institucional total del pliego;ANEXO-7-1-2:94-95
Arequipa;040104;MUNICIPALIDAD DISTRITAL DE CERRO COLORADO;Gobierno local;Arequipa;Cerro Colorado;7;10;321523091;Presupuesto institucional total del pliego;ANEXO-7-1-2:95
Arequipa;040105;MUNICIPALIDAD DISTRITAL DE CHARACATO;Gobierno local;Arequipa;Characato;7;10;21941304;Presupuesto institucional total del pliego;ANEXO-7-1-2:95
Arequipa;040106;MUNICIPALIDAD DISTRITAL DE CHIGUATA;Gobierno local;Arequipa;Chiguata;7;7;9587934;Presupuesto institucional total del pliego;ANEXO-7-1-2:95-96
Arequipa;040107;MUNICIPALIDAD DISTRITAL DE JACOBO HUNTER;Gobierno local;Arequipa;Jacobo Hunter;7;12;45826109;Presupuesto institucional total del pliego;ANEXO-7-1-2:96
Arequipa;040108;MUNICIPALIDAD DISTRITAL DE LA JOYA;Gobierno local;Arequipa;La Joya;7;8;86619055;Presupuesto institucional total del pliego;ANEXO-7-1-2:96
Arequipa;040109;MUNICIPALIDAD DISTRITAL DE MARIANO MELGAR;Gobierno local;Arequipa;Mariano Melgar;7;9;74435230;Presupuesto institucional total del pliego;ANEXO-7-1-2:96
Arequipa;040110;MUNICIPALIDAD DISTRITAL DE MIRAFLORES;Gobierno local;Arequipa;Miraflores;7;11;65200754;Presupuesto institucional total del pliego;ANEXO-7-1-2:97
Arequipa;040111;MUNICIPALIDAD DISTRITAL DE MOLLEBAYA;Gobierno local;Arequipa;Mollebaya;7;10;13595431;Presupuesto institucional total del pliego;ANEXO-7-1-2:97
Arequipa;040112;MUNICIPALIDAD DISTRITAL DE PAUCARPATA;Gobierno local;Arequipa;Paucarpata;7;12;106322357;Presupuesto institucional total del pliego;ANEXO-7-1-2:97
Arequipa;040113;MUNICIPALIDAD DISTRITAL DE POCSI;Gobierno local;Arequipa;Pocsi;7;6;2670086;Presupuesto institucional total del pliego;ANEXO-7-1-2:97-98
Arequipa;040114;MUNICIPALIDAD DISTRITAL DE POLOBAYA;Gobierno local;Arequipa;Polobaya;7;6;3021481;Presupuesto institucional total del pliego;ANEXO-7-1-2:98
Arequipa;040115;MUNICIPALIDAD DISTRITAL DE QUEQUEÑA;Gobierno local;Arequipa;Quequena;7;7;15879811;Presupuesto institucional total del pliego;ANEXO-7-1-2:98
Arequipa;040116;MUNICIPALIDAD DISTRITAL DE SABANDIA;Gobierno local;Arequipa;Sabandia;7;11;6535989;Presupuesto institucional total del pliego;ANEXO-7-1-2:98-99
Arequipa;040117;MUNICIPALIDAD DISTRITAL DE SACHACA;Gobierno local;Arequipa;Sachaca;7;8;46225870;Presupuesto institucional total del pliego;ANEXO-7-1-2:99
Arequipa;040118;MUNICIPALIDAD DISTRITAL DE SAN JUAN DE SIGUAS;Gobierno local;Arequipa;San Juan De Siguas;7;7;2163491;Presupuesto institucional total del pliego;ANEXO-7-1-2:99
Arequipa;040119;MUNICIPALIDAD DISTRITAL DE SAN JUAN DE TARUCANI;Gobierno local;Arequipa;San Juan De Tarucani;7;6;8571726;Presupuesto institucional total del pliego;ANEXO-7-1-2:99
Arequipa;040120;MUNICIPALIDAD DISTRITAL DE SANTA ISABEL DE SIGUAS;Gobierno local;Arequipa;Santa Isabel De Siguas;7;5;2691425;Presupuesto institucional total del pliego;ANEXO-7-1-2:99-100
